,molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency,chirality,parent_chembl_id,cx_logd,alogp,hba,hbd,mw_freebase,full_mwt,num_ro5_violations,psa,heavy_atoms,np_likeness_score,clean_smiles,MW,LogP,NumHDonors,NumHAcceptors
0,CHEMBL5073811,COc1cc2cc(C#N)ccc2c(OC)c1Oc1cc(N)nc(Nc2ccc(C#N)cc2)n1,60.0,nM,7.22,"{'bei': '16.47', 'le': '0.30', 'lle': '2.71', 'sei': '5.19'}",-1,CHEMBL5073811,4.41,4.51,9,2,438.45,438.45,0,139.1,33,-0.67,COc1cc2cc(C#N)ccc2c(OC)c1Oc1cc(N)nc(Nc2ccc(C#N)cc2)n1,438.4470000000001,4.508460000000003,2.0,9.0
1,CHEMBL5073127,CCNc1cc(Oc2c(OC)cc3cc(C#N)ccc3c2OC)nc(Nc2ccc(C#N)cc2)n1,430.0,nM,6.37,"{'bei': '13.65', 'le': '0.25', 'lle': '1.01', 'sei': '5.09'}",-1,CHEMBL5073127,5.07,5.36,9,2,466.5,466.5,1,125.11,35,-0.9,CCNc1cc(Oc2c(OC)cc3cc(C#N)ccc3c2OC)nc(Nc2ccc(C#N)cc2)n1,466.5010000000002,5.3580600000000045,2.0,9.0
2,CHEMBL5085211,COc1cc2cc(C#N)ccc2c(OC)c1Oc1cc(N2CCC(O)C2)nc(Nc2ccc(C#N)cc2)n1,450.0,nM,6.35,"{'bei': '12.48', 'le': '0.23', 'lle': '1.85', 'sei': '4.65'}",-1,CHEMBL5085211,4.61,4.5,10,2,508.54,508.54,1,136.55,38,-0.95,COc1cc2cc(C#N)ccc2c(OC)c1Oc1cc(N2CCC(O)C2)nc(Nc2ccc(C#N)cc2)n1,508.5380000000002,4.497260000000003,2.0,10.0
3,CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,357000.0,nM,,,2,CHEMBL57,2.49,2.65,4,1,266.3,266.3,0,58.12,20,-0.25,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.30400000000003,2.6512200000000004,1.0,4.0
4,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,10.0,nM,8.0,"{'bei': '18.38', 'le': '0.39', 'lle': '3.28', 'sei': '6.63'}",2,CHEMBL308954,5.54,4.72,7,2,435.29,435.29,0,120.64,28,-1.05,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,435.2850000000001,4.717400000000002,2.0,7.0
5,CHEMBL223228,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,120.0,nM,6.92,"{'bei': '21.92', 'le': '0.45', 'lle': '2.85', 'sei': '18.06'}",1,CHEMBL223228,4.46,4.07,2,1,315.68,315.68,0,38.33,21,0.07,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,315.67799999999994,4.073100000000001,1.0,2.0
6,CHEMBL4578515,C=CC(=O)N(C)c1cc(Oc2ccccc2OCCn2ccc(=O)[nH]c2=O)c(C)c2cc(C#N)ccc12,400.0,nM,6.4,"{'bei': '12.89', 'le': '0.24', 'lle': '2.51', 'sei': '5.45'}",-1,CHEMBL4578515,3.73,3.89,7,1,496.52,496.52,0,117.42,37,-0.84,C=CC(=O)N(C)c1cc(Oc2ccccc2OCCn2ccc(=O)[nH]c2=O)c(C)c2cc(C#N)ccc12,496.52300000000025,3.8900000000000015,1.0,7.0
7,CHEMBL4553027,Cc1c(Oc2ccccc2OCCn2ccc(=O)[nH]c2=O)cc(N(C)C(=O)CCl)c2ccc(C#N)cc12,480.0,nM,6.32,"{'bei': '12.18', 'le': '0.23', 'lle': '2.38', 'sei': '5.38'}",-1,CHEMBL4553027,3.51,3.94,7,1,518.96,518.96,1,117.42,37,-1.04,Cc1c(Oc2ccccc2OCCn2ccc(=O)[nH]c2=O)cc(N(C)C(=O)CCl)c2ccc(C#N)cc12,518.9570000000002,3.942800000000002,1.0,7.0
8,CHEMBL550937,CC(C)c1ccc(O)c(=O)c(O)c1,250.0,nM,6.6,"{'bei': '36.64', 'le': '0.69', 'lle': '5.02', 'sei': '11.48'}",-1,CHEMBL550937,1.82,1.58,3,2,180.2,180.2,0,57.53,13,0.52,CC(C)c1ccc(O)c(=O)c(O)c1,180.203,1.5814,2.0,3.0
9,CHEMBL3670888,CC(C)CN(Sc1ccc2c(c1)CCO2)[C@H](CO)CCCCNC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,0.995,nM,9.0,"{'bei': '13.87', 'le': '0.27', 'lle': '3.96', 'sei': '8.71'}",-1,CHEMBL3670888,4.48,5.04,7,3,648.87,648.87,2,103.37,46,-0.85,CC(C)CN(Sc1ccc2c(c1)CCO2)[C@H](CO)CCCCNC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,648.87,5.040300000000004,3.0,7.0
10,CHEMBL3670889,CC(C)CN(Sc1ccc2c(c1)OCCO2)[C@H](CO)CCCCNC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,2.024,nM,8.69,"{'bei': '13.08', 'le': '0.25', 'lle': '3.81', 'sei': '7.72'}",-1,CHEMBL3670889,4.11,4.88,8,3,664.87,664.87,1,112.6,47,-0.88,CC(C)CN(Sc1ccc2c(c1)OCCO2)[C@H](CO)CCCCNC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,664.869,4.876600000000003,3.0,8.0
11,CHEMBL3670890,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)N1CCOCC1)S(=O)(=O)c1ccc2c(c1)CCO2,0.599,nM,9.22,"{'bei': '13.00', 'le': '0.28', 'lle': '5.89', 'sei': '6.71'}",-1,CHEMBL3670890,3.35,3.33,7,3,709.7,709.7,1,137.51,45,-1.17,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)N1CCOCC1)S(=O)(=O)c1ccc2c(c1)CCO2,709.704,3.331200000000001,3.0,7.0
12,CHEMBL3670886,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.6,nM,9.22,"{'bei': '13.10', 'le': '0.28', 'lle': '4.84', 'sei': '5.69'}",-1,CHEMBL3670886,4.8,4.38,7,5,703.7,703.7,1,162.06,45,-0.71,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,703.7000000000002,4.380720000000003,5.0,7.0
