molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency,chirality,parent_chembl_id,cx_logd,alogp,hba,hbd,mw_freebase,full_mwt,num_ro5_violations,psa,heavy_atoms,np_likeness_score
CHEMBL3670888,CC(C)CN(Sc1ccc2c(c1)CCO2)[C@H](CO)CCCCNC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,0.995,nM,9.0,"{'bei': '13.87', 'le': '0.27', 'lle': '3.96', 'sei': '8.71'}",-1,CHEMBL3670888,4.48,5.04,7,3,648.87,648.87,2,103.37,46,-0.85
CHEMBL3670889,CC(C)CN(Sc1ccc2c(c1)OCCO2)[C@H](CO)CCCCNC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,2.024,nM,8.69,"{'bei': '13.08', 'le': '0.25', 'lle': '3.81', 'sei': '7.72'}",-1,CHEMBL3670889,4.11,4.88,8,3,664.87,664.87,1,112.60,47,-0.88
CHEMBL3670890,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)N1CCOCC1)S(=O)(=O)c1ccc2c(c1)CCO2,0.599,nM,9.22,"{'bei': '13.00', 'le': '0.28', 'lle': '5.89', 'sei': '6.71'}",-1,CHEMBL3670890,3.35,3.33,7,3,709.70,709.70,1,137.51,45,-1.17
CHEMBL3670886,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.6,nM,9.22,"{'bei': '13.10', 'le': '0.28', 'lle': '4.84', 'sei': '5.69'}",-1,CHEMBL3670886,4.80,4.38,7,5,703.70,703.70,1,162.06,45,-0.71
CHEMBL3670887,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)c1cccc(=O)[nH]1)S(=O)(=O)c1ccc(N)cc1,0.29,nM,9.54,"{'bei': '13.81', 'le': '0.30', 'lle': '6.48', 'sei': '5.46'}",-1,CHEMBL3670887,2.61,3.06,7,5,690.66,690.66,1,174.69,44,-0.71
CHEMBL3670897,Cc1ccccc1C[C@H](NC(=O)c1cccnc1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,1.417,nM,8.85,"{'bei': '14.51', 'le': '0.28', 'lle': '5.54', 'sei': '5.72'}",-1,CHEMBL3670897,3.13,3.31,7,4,609.79,609.79,1,154.72,43,-0.94
CHEMBL3670829,O=C(O)CNC(=O)c1c(=O)oc(O)c2cc(Br)ccc12,1.286,nM,8.89,"{'bei': '25.99', 'le': '0.61', 'lle': '7.81', 'sei': '7.61'}",-1,CHEMBL3670829,-6.12,1.08,5,3,342.10,342.10,0,116.84,20,-0.31
CHEMBL3670898,C[C@H](NC(=O)c1c(=O)oc(O)c2cccc(-c3cccc(C(F)(F)F)c3)c12)C(=O)O,1.353,nM,8.87,"{'bei': '21.05', 'le': '0.40', 'lle': '5.48', 'sei': '7.59'}",-1,CHEMBL3670898,-3.71,3.39,5,3,421.33,421.33,0,116.84,30,-0.54
CHEMBL3670899,Cc1ccccc1C[C@H](NC(=O)c1cccc(C)c1O)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,4.122,nM,8.38,"{'bei': '13.13', 'le': '0.25', 'lle': '4.45', 'sei': '5.17'}",-1,CHEMBL3670899,5.17,3.93,7,5,638.83,638.83,1,162.06,45,-0.72
CHEMBL3670901,COC(=O)N[C@@H](CC1CCCCC1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,5.212,nM,8.28,"{'bei': '14.93', 'le': '0.30', 'lle': '5.02', 'sei': '5.48'}",-1,CHEMBL3670901,3.06,3.26,7,4,554.75,554.75,1,151.06,38,-0.59
CHEMBL3670902,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](CC1CCCCC1)NC(=O)c1cccnc1)S(=O)(=O)c1ccc(N)cc1,2.876,nM,8.54,"{'bei': '14.19', 'le': '0.28', 'lle': '4.81', 'sei': '5.52'}",-1,CHEMBL3670902,3.08,3.73,7,4,601.81,601.81,1,154.72,42,-0.75
CHEMBL3670903,Cc1ccc(C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cn1,3.314,nM,8.48,"{'bei': '13.77', 'le': '0.27', 'lle': '4.44', 'sei': '5.48'}",-1,CHEMBL3670903,3.21,4.04,7,4,615.84,615.84,1,154.72,43,-0.82
CHEMBL3639697,COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1cccc2cccnc12)C(c1ccccc1)c1ccccc1,2.55,nM,8.59,"{'bei': '13.00', 'le': '0.25', 'lle': '3.50', 'sei': '6.23'}",-1,CHEMBL3639697,5.08,5.09,7,3,660.84,660.84,2,137.93,47,-0.81
CHEMBL3670895,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Cl)NC(=O)c1ccncc1)S(=O)(=O)c1ccc(N)cc1,3.81,nM,8.42,"{'bei': '13.36', 'le': '0.27', 'lle': '4.77', 'sei': '5.44'}",-1,CHEMBL3670895,3.22,3.65,7,4,630.21,630.21,1,154.72,43,-1.02
CHEMBL3670896,Cc1ncccc1C(=O)N[C@@H](Cc1ccccc1Cl)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,2.15,nM,8.67,"{'bei': '13.45', 'le': '0.27', 'lle': '4.71', 'sei': '5.60'}",-1,CHEMBL3670896,3.35,3.96,7,4,644.24,644.24,1,154.72,44,-1.05
CHEMBL3670891,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](CC1=C(Br)CCC=C1)NC(=O)N1CCOCC1)S(=O)(=O)c1ccc2c(c1)OCCO2,3.659,nM,8.44,"{'bei': '11.59', 'le': '0.25', 'lle': '4.89', 'sei': '5.75'}",-1,CHEMBL3670891,2.16,3.55,8,3,727.72,727.72,1,146.74,46,-0.80
CHEMBL3670892,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc2c(c1)CCO2)C(C1=CC=CCC1)c1ccccc1,0.899,nM,9.05,"{'bei': '13.84', 'le': '0.27', 'lle': '4.35', 'sei': '6.74'}",-1,CHEMBL3670892,4.50,4.70,7,3,653.84,653.84,1,134.27,46,-0.48
CHEMBL3670893,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)N1CCOCC1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc2c(c1)CCO2,0.963,nM,9.02,"{'bei': '12.75', 'le': '0.25', 'lle': '4.86', 'sei': '6.56'}",-1,CHEMBL3670893,4.08,4.16,7,3,706.91,706.91,1,137.51,50,-0.99
CHEMBL3670894,COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1ccc2c(c1)N(C)CCO2)C(c1ccccc1)c1ccccc1,3.011,nM,8.52,"{'bei': '12.52', 'le': '0.24', 'lle': '4.15', 'sei': '6.20'}",-1,CHEMBL3670894,4.70,4.37,8,3,680.87,680.87,1,137.51,48,-0.87
CHEMBL3670883,Cc1cccnc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.503,nM,9.3,"{'bei': '13.50', 'le': '0.29', 'lle': '5.23', 'sei': '6.01'}",-1,CHEMBL3670883,4.28,4.07,7,4,688.69,688.69,1,154.72,44,-0.91
CHEMBL3670884,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1O,0.683,nM,9.17,"{'bei': '13.02', 'le': '0.28', 'lle': '4.79', 'sei': '5.66'}",-1,CHEMBL3670884,4.80,4.38,7,5,703.70,703.70,1,162.06,45,-0.70
CHEMBL3670885,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)OCc1ccncc1)S(=O)(=O)c1ccc(N)cc1,0.92,nM,9.04,"{'bei': '12.82', 'le': '0.27', 'lle': '4.78', 'sei': '5.51'}",-1,CHEMBL3670885,3.87,4.26,8,4,704.69,704.69,1,163.95,45,-0.81
CHEMBL3670863,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2c(c1)OCCC2C)S(=O)(=O)c1ccc(N)cc1,4.95,nM,8.3,"{'bei': '11.06', 'le': '0.22', 'lle': '3.12', 'sei': '4.94'}",-1,CHEMBL3670863,5.19,5.19,8,4,750.98,750.98,2,168.13,52,-0.52
CHEMBL3670864,CCC(=O)NC(=O)N(C)CC(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.878,nM,9.06,"{'bei': '12.74', 'le': '0.25', 'lle': '6.04', 'sei': '4.74'}",-1,CHEMBL3670864,2.44,3.02,8,5,710.90,710.90,1,191.24,50,-0.84
CHEMBL3670865,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NCc1ccccn1)S(=O)(=O)c1ccc(N)cc1,5.898,nM,8.23,"{'bei': '13.02', 'le': '0.25', 'lle': '3.72', 'sei': '5.98'}",-1,CHEMBL3670865,3.89,4.51,7,4,631.84,631.84,1,137.65,45,-0.88
CHEMBL3670866,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NS(=O)(=O)c1cccs1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.601,nM,9.22,"{'bei': '12.93', 'le': '0.26', 'lle': '4.42', 'sei': '5.80'}",-1,CHEMBL3670866,5.01,4.80,8,4,712.96,712.96,1,158.90,48,-1.05
CHEMBL3670867,CN[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)C1C=CC=CC1,0.436,nM,9.36,"{'bei': '16.06', 'le': '0.31', 'lle': '5.29', 'sei': '7.50'}",-1,CHEMBL3670867,2.33,4.07,6,4,582.81,582.81,1,124.76,41,-0.10
CHEMBL3670868,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)NCC1=CCCN=C1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.465,nM,9.33,"{'bei': '13.28', 'le': '0.25', 'lle': '4.87', 'sei': '5.61'}",-1,CHEMBL3670868,3.42,4.46,7,5,702.92,702.92,1,166.22,50,-0.52
CHEMBL3670869,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)NCc1ccncc1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.51,nM,9.29,"{'bei': '13.26', 'le': '0.25', 'lle': '4.63', 'sei': '5.57'}",-1,CHEMBL3670869,3.87,4.66,7,5,700.91,700.91,1,166.75,50,-0.86
