molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency
CHEMBL3670888,CC(C)CN(Sc1ccc2c(c1)CCO2)[C@H](CO)CCCCNC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,0.995,nM,9.00,"{'bei': '13.87', 'le': '0.27', 'lle': '3.96', 'sei': '8.71'}"
CHEMBL3670889,CC(C)CN(Sc1ccc2c(c1)OCCO2)[C@H](CO)CCCCNC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,2.024,nM,8.69,"{'bei': '13.08', 'le': '0.25', 'lle': '3.81', 'sei': '7.72'}"
CHEMBL3670890,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)N1CCOCC1)S(=O)(=O)c1ccc2c(c1)CCO2,0.599,nM,9.22,"{'bei': '13.00', 'le': '0.28', 'lle': '5.89', 'sei': '6.71'}"
CHEMBL3670886,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.6,nM,9.22,"{'bei': '13.10', 'le': '0.28', 'lle': '4.84', 'sei': '5.69'}"
CHEMBL3670887,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)c1cccc(=O)[nH]1)S(=O)(=O)c1ccc(N)cc1,0.29,nM,9.54,"{'bei': '13.81', 'le': '0.30', 'lle': '6.48', 'sei': '5.46'}"
CHEMBL3670897,Cc1ccccc1C[C@H](NC(=O)c1cccnc1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,1.417,nM,8.85,"{'bei': '14.51', 'le': '0.28', 'lle': '5.54', 'sei': '5.72'}"
CHEMBL3670829,O=C(O)CNC(=O)c1c(=O)oc(O)c2cc(Br)ccc12,1.286,nM,8.89,"{'bei': '25.99', 'le': '0.61', 'lle': '7.81', 'sei': '7.61'}"
CHEMBL3670898,C[C@H](NC(=O)c1c(=O)oc(O)c2cccc(-c3cccc(C(F)(F)F)c3)c12)C(=O)O,1.353,nM,8.87,"{'bei': '21.05', 'le': '0.40', 'lle': '5.48', 'sei': '7.59'}"
CHEMBL3670899,Cc1ccccc1C[C@H](NC(=O)c1cccc(C)c1O)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,4.122,nM,8.38,"{'bei': '13.13', 'le': '0.25', 'lle': '4.45', 'sei': '5.17'}"
CHEMBL3670901,COC(=O)N[C@@H](CC1CCCCC1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,5.212,nM,8.28,"{'bei': '14.93', 'le': '0.30', 'lle': '5.02', 'sei': '5.48'}"
CHEMBL3670902,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](CC1CCCCC1)NC(=O)c1cccnc1)S(=O)(=O)c1ccc(N)cc1,2.876,nM,8.54,"{'bei': '14.19', 'le': '0.28', 'lle': '4.81', 'sei': '5.52'}"
CHEMBL3670903,Cc1ccc(C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cn1,3.314,nM,8.48,"{'bei': '13.77', 'le': '0.27', 'lle': '4.44', 'sei': '5.48'}"
CHEMBL3639697,COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1cccc2cccnc12)C(c1ccccc1)c1ccccc1,2.55,nM,8.59,"{'bei': '13.00', 'le': '0.25', 'lle': '3.50', 'sei': '6.23'}"
CHEMBL3670895,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Cl)NC(=O)c1ccncc1)S(=O)(=O)c1ccc(N)cc1,3.81,nM,8.42,"{'bei': '13.36', 'le': '0.27', 'lle': '4.77', 'sei': '5.44'}"
CHEMBL3670896,Cc1ncccc1C(=O)N[C@@H](Cc1ccccc1Cl)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,2.15,nM,8.67,"{'bei': '13.45', 'le': '0.27', 'lle': '4.71', 'sei': '5.60'}"
CHEMBL3670891,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](CC1=C(Br)CCC=C1)NC(=O)N1CCOCC1)S(=O)(=O)c1ccc2c(c1)OCCO2,3.659,nM,8.44,"{'bei': '11.59', 'le': '0.25', 'lle': '4.89', 'sei': '5.75'}"
CHEMBL3670892,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc2c(c1)CCO2)C(C1=CC=CCC1)c1ccccc1,0.899,nM,9.05,"{'bei': '13.84', 'le': '0.27', 'lle': '4.35', 'sei': '6.74'}"
CHEMBL3670893,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)N1CCOCC1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc2c(c1)CCO2,0.963,nM,9.02,"{'bei': '12.75', 'le': '0.25', 'lle': '4.86', 'sei': '6.56'}"
